batting_team,ball_number,total_team_runs,total_team_wickets,striker_ID,bowler_ID,nonstriker_ID,batter_runs,extras_runs,total_delivery_runs,wicket,wicket_type
Jamaica,1,0,0,1d39dc61,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,2,0,0,1d39dc61,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,3,1,0,1d39dc61,2f9a6bd1,7bf610f3,0,1,1,0,
Jamaica,4,1,0,1d39dc61,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,5,5,0,1d39dc61,2f9a6bd1,7bf610f3,4,0,4,0,
Jamaica,6,6,0,1d39dc61,2f9a6bd1,7bf610f3,0,1,1,0,
Jamaica,7,7,0,1d39dc61,2f9a6bd1,7bf610f3,1,0,1,0,
Jamaica,8,7,0,7bf610f3,2f9a6bd1,1d39dc61,0,0,0,0,
Jamaica,9,8,0,1d39dc61,aeccf5cc,7bf610f3,1,0,1,0,
Jamaica,10,8,0,7bf610f3,aeccf5cc,1d39dc61,0,0,0,0,
Jamaica,11,9,0,7bf610f3,aeccf5cc,1d39dc61,0,1,1,0,
Jamaica,12,10,0,7bf610f3,aeccf5cc,1d39dc61,1,0,1,0,
Jamaica,13,10,0,1d39dc61,aeccf5cc,7bf610f3,0,0,0,0,
Jamaica,14,10,1,1d39dc61,aeccf5cc,7bf610f3,0,0,0,1,bowled
Jamaica,15,10,1,92cf79a8,aeccf5cc,7bf610f3,0,0,0,0,
Jamaica,16,11,1,7bf610f3,2f9a6bd1,92cf79a8,0,1,1,0,
Jamaica,17,12,1,7bf610f3,2f9a6bd1,92cf79a8,0,1,1,0,
Jamaica,18,13,1,7bf610f3,2f9a6bd1,92cf79a8,1,0,1,0,
Jamaica,19,13,1,92cf79a8,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,20,13,1,92cf79a8,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,21,13,1,92cf79a8,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,22,13,1,92cf79a8,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,23,13,1,92cf79a8,2f9a6bd1,7bf610f3,0,0,0,0,
Jamaica,24,14,1,7bf610f3,aeccf5cc,92cf79a8,0,1,1,0,
Jamaica,25,15,1,7bf610f3,aeccf5cc,92cf79a8,0,1,1,0,
Jamaica,26,15,1,7bf610f3,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,27,15,1,7bf610f3,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,28,15,2,7bf610f3,aeccf5cc,92cf79a8,0,0,0,1,caught
Jamaica,29,15,2,639000b6,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,30,15,2,639000b6,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,31,15,2,639000b6,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,32,15,2,92cf79a8,2f9a6bd1,639000b6,0,0,0,0,
Jamaica,33,15,2,92cf79a8,2f9a6bd1,639000b6,0,0,0,0,
Jamaica,34,18,2,92cf79a8,2f9a6bd1,639000b6,3,0,3,0,
Jamaica,35,18,2,639000b6,2f9a6bd1,92cf79a8,0,0,0,0,
Jamaica,36,18,2,639000b6,2f9a6bd1,92cf79a8,0,0,0,0,
Jamaica,37,19,2,639000b6,2f9a6bd1,92cf79a8,1,0,1,0,
Jamaica,38,20,2,639000b6,aeccf5cc,92cf79a8,0,1,1,0,
Jamaica,39,20,3,639000b6,aeccf5cc,92cf79a8,0,0,0,1,bowled
Jamaica,40,20,3,75820733,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,41,20,3,75820733,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,42,20,3,75820733,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,43,24,3,75820733,aeccf5cc,92cf79a8,4,0,4,0,
Jamaica,44,24,4,75820733,aeccf5cc,92cf79a8,0,0,0,1,bowled
Jamaica,45,25,4,92cf79a8,2f9a6bd1,406de451,0,1,1,0,
Jamaica,46,25,4,406de451,2f9a6bd1,92cf79a8,0,0,0,0,
Jamaica,47,25,4,406de451,2f9a6bd1,92cf79a8,0,0,0,0,
Jamaica,48,25,4,406de451,2f9a6bd1,92cf79a8,0,0,0,0,
Jamaica,49,26,4,406de451,2f9a6bd1,92cf79a8,0,1,1,0,
Jamaica,50,26,4,406de451,2f9a6bd1,92cf79a8,0,0,0,0,
Jamaica,51,27,4,406de451,2f9a6bd1,92cf79a8,1,0,1,0,
Jamaica,52,28,4,406de451,aeccf5cc,92cf79a8,0,1,1,0,
Jamaica,53,28,4,406de451,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,54,29,4,406de451,aeccf5cc,92cf79a8,1,0,1,0,
Jamaica,55,30,4,92cf79a8,aeccf5cc,406de451,1,0,1,0,
Jamaica,56,32,4,406de451,aeccf5cc,92cf79a8,2,0,2,0,
Jamaica,57,32,4,406de451,aeccf5cc,92cf79a8,0,0,0,0,
Jamaica,58,33,4,406de451,aeccf5cc,92cf79a8,1,0,1,0,
Jamaica,59,34,4,406de451,c29ada99,92cf79a8,1,0,1,0,
Jamaica,60,35,4,92cf79a8,c29ada99,406de451,1,0,1,0,
Jamaica,61,36,4,406de451,c29ada99,92cf79a8,0,1,1,0,
Jamaica,62,36,4,92cf79a8,c29ada99,406de451,0,0,0,0,
Jamaica,63,37,4,92cf79a8,c29ada99,406de451,1,0,1,0,
Jamaica,64,38,4,406de451,c29ada99,92cf79a8,1,0,1,0,
Jamaica,65,38,4,406de451,d32cf49a,92cf79a8,0,0,0,0,
Jamaica,66,40,4,406de451,d32cf49a,92cf79a8,2,0,2,0,
Jamaica,67,41,4,406de451,d32cf49a,92cf79a8,1,0,1,0,
Jamaica,68,41,5,92cf79a8,d32cf49a,406de451,0,0,0,1,caught
Jamaica,69,41,5,d784bf43,d32cf49a,406de451,0,0,0,0,
Jamaica,70,41,5,d784bf43,d32cf49a,406de451,0,0,0,0,
Jamaica,71,41,5,406de451,c29ada99,d784bf43,0,0,0,0,
Jamaica,72,43,5,406de451,c29ada99,d784bf43,2,0,2,0,
Jamaica,73,44,5,406de451,c29ada99,d784bf43,1,0,1,0,
Jamaica,74,47,5,d784bf43,c29ada99,406de451,3,0,3,0,
Jamaica,75,48,5,406de451,c29ada99,d784bf43,1,0,1,0,
Jamaica,76,48,5,d784bf43,c29ada99,406de451,0,0,0,0,
Jamaica,77,49,5,406de451,d32cf49a,d784bf43,1,0,1,0,
Jamaica,78,51,5,d784bf43,d32cf49a,406de451,0,2,2,0,
Jamaica,79,51,6,d784bf43,d32cf49a,406de451,0,0,0,1,bowled
Jamaica,80,55,6,24baff57,d32cf49a,406de451,4,0,4,0,
Jamaica,81,55,6,24baff57,d32cf49a,406de451,0,0,0,0,
Jamaica,82,59,6,24baff57,d32cf49a,406de451,0,4,4,0,
Jamaica,83,60,6,406de451,c29ada99,24baff57,1,0,1,0,
Jamaica,84,60,6,24baff57,c29ada99,406de451,0,0,0,0,
Jamaica,85,60,6,24baff57,c29ada99,406de451,0,0,0,0,
Jamaica,86,60,6,24baff57,c29ada99,406de451,0,0,0,0,
Jamaica,87,60,6,24baff57,c29ada99,406de451,0,0,0,0,
Jamaica,88,61,6,24baff57,c29ada99,406de451,1,0,1,0,
Jamaica,89,62,6,24baff57,d32cf49a,406de451,1,0,1,0,
Jamaica,90,63,6,406de451,d32cf49a,24baff57,1,0,1,0,
Jamaica,91,63,6,24baff57,d32cf49a,406de451,0,0,0,0,
Jamaica,92,63,7,24baff57,d32cf49a,406de451,0,0,0,1,bowled
Jamaica,93,67,7,7ca6154f,d32cf49a,406de451,4,0,4,0,
Jamaica,94,67,7,7ca6154f,d32cf49a,406de451,0,0,0,0,
Jamaica,95,68,7,406de451,53bee17f,7ca6154f,1,0,1,0,
Jamaica,96,69,7,7ca6154f,53bee17f,406de451,0,1,1,0,
Jamaica,97,69,8,7ca6154f,53bee17f,406de451,0,0,0,1,lbw
Jamaica,98,70,8,75a667c0,53bee17f,406de451,0,1,1,0,
Jamaica,99,71,8,75a667c0,53bee17f,406de451,1,0,1,0,
