batting_team,ball_number,total_team_runs,total_team_wickets,striker_ID,bowler_ID,nonstriker_ID,batter_runs,extras_runs,total_delivery_runs,wicket,wicket_type
Nepal,1,0,0,97e6e41a,57a25400,e1214f03,0,0,0,0,
Nepal,2,1,0,97e6e41a,57a25400,e1214f03,1,0,1,0,
Nepal,3,1,0,e1214f03,57a25400,97e6e41a,0,0,0,0,
Nepal,4,1,0,e1214f03,57a25400,97e6e41a,0,0,0,0,
Nepal,5,2,0,e1214f03,57a25400,97e6e41a,1,0,1,0,
Nepal,6,4,0,97e6e41a,57a25400,e1214f03,2,0,2,0,
Nepal,7,5,0,e1214f03,3f886270,97e6e41a,1,0,1,0,
Nepal,8,5,0,97e6e41a,3f886270,e1214f03,0,0,0,0,
Nepal,9,5,0,97e6e41a,3f886270,e1214f03,0,0,0,0,
Nepal,10,7,0,97e6e41a,3f886270,e1214f03,2,0,2,0,
Nepal,11,8,0,97e6e41a,3f886270,e1214f03,1,0,1,0,
Nepal,12,8,0,e1214f03,3f886270,97e6e41a,0,0,0,0,
Nepal,13,9,0,97e6e41a,57a25400,e1214f03,1,0,1,0,
Nepal,14,9,0,e1214f03,57a25400,97e6e41a,0,0,0,0,
Nepal,15,10,0,e1214f03,57a25400,97e6e41a,0,1,1,0,
Nepal,16,14,0,e1214f03,57a25400,97e6e41a,4,0,4,0,
Nepal,17,14,0,e1214f03,57a25400,97e6e41a,0,0,0,0,
Nepal,18,14,1,e1214f03,57a25400,97e6e41a,0,0,0,1,caught
Nepal,19,14,1,119de50f,57a25400,97e6e41a,0,0,0,0,
Nepal,20,14,1,97e6e41a,3f886270,119de50f,0,0,0,0,
Nepal,21,15,1,97e6e41a,3f886270,119de50f,1,0,1,0,
Nepal,22,16,1,119de50f,3f886270,97e6e41a,1,0,1,0,
Nepal,23,16,1,97e6e41a,3f886270,119de50f,0,0,0,0,
Nepal,24,16,1,97e6e41a,3f886270,119de50f,0,0,0,0,
Nepal,25,18,1,97e6e41a,3f886270,119de50f,2,0,2,0,
Nepal,26,20,1,119de50f,57a25400,97e6e41a,2,0,2,0,
Nepal,27,20,2,119de50f,57a25400,97e6e41a,0,0,0,1,bowled
Nepal,28,20,2,dfdaca74,57a25400,97e6e41a,0,0,0,0,
Nepal,29,21,2,dfdaca74,57a25400,97e6e41a,0,1,1,0,
Nepal,30,22,2,dfdaca74,57a25400,97e6e41a,1,0,1,0,
Nepal,31,28,2,97e6e41a,57a25400,dfdaca74,6,0,6,0,
