game_id,game_date,batting_first_team,bowling_first_team,venue,match_type,umpire_1,umpire_2
438938,20100220,Netherlands,Kenya,Gymkhana Club Ground,MDM,Zameer Haider,SR Modi
1442989,20240730,India,Sri Lanka,Pallekele International Cricket Stadium,T20,RR Wimalasiri,RSA Palliyaguruge
1387601,20231219,India,South Africa,"St George's Park, Gqeberha",ODI,Ahsan Raza,BP Jele
1339605,20230326,West Indies,South Africa,"SuperSport Park, Centurion",T20,AT Holdstock,A Paleker
1452570,20250114,Wellington,Otago,"Basin Reserve, Wellington",T20,C Black,JT Blunt
1051861,20170321,Otago Volts,Auckland Aces,University of Otago Oval,MDM,BF Bowden,AL Gillies
1223869,20201217,India,Australia,Adelaide Oval,Test,BNJ Oxenford,PR Reiffel
1167298,20190901,Loughborough Lightning,Southern Vipers,"County Ground, Hove",T20,Mark Newell,Rob White
1296688,20220122,Chattogram Challengers,Minister Group Dhaka,"Shere Bangla National Stadium, Mirpur",T20,Sharfuddoula,Tanvir Ahmed
1199528,20191024,Scotland,Bermuda,Dubai International Cricket Stadium,T20,CM Brown,A Paleker
1456860,20241107,Mongolia,China,Zhejiang University of Technology Cricket Field,T20,Aye Min Than,John Prakash
1322419,20230221,New South Wales,Queensland,"Brisbane Cricket Ground, Woolloongabba, Brisbane",MDM,D Taylor,P Wilson
947185,20160617,Somerset,Gloucestershire,County Ground,T20,NGB Cook,NA Mallender
1090892,20170502,Vanuatu,Papua New Guinea,Sano International Cricket Ground,IT20,Ramasamy Venkatesh,AK Wilds
1409522,20240108,Central Districts,Wellington,"McLean Park, Napier",T20,TJ Parlane,WR Knights
1380594,20230909,Trinbago Knight Riders,Guyana Amazon Warriors,"Brian Lara Stadium, Tarouba, Trinidad",T20,C La Borde,M Abbott
1249235,20210303,New Zealand,England,Westpac Stadium,T20,JM Dempsey,Kim Cotton
1409488,20240106,Northern Districts,Otago,"Seddon Park, Hamilton",T20,CM Brown,DJ Walker
951401,20160324,Sri Lanka,Australia,Feroz Shah Kotla,T20,CB Gaffaney,MA Gough
1127486,20180719,Middlesex,Somerset,Lord's,T20,NA Mallender,Joe Evans
1462596,20241130,Biratnagar Kings,Janakpur Bolts,"Tribhuvan University International Cricket Ground, Kirtipur",T20,DN Subedi,VK Jha
1297830,20220603,Surrey,Kent,"St Lawrence Ground, Canterbury",T20,BV Taylor,NL Bainton
1244407,20210131,Baroda,Tamil Nadu,"Narendra Modi Stadium Ground 'A', Motera",T20,Unknown,Unknown
1279379,20211005,Estonia,Cyprus,Happy Valley Ground,T20,Unknown,Unknown
1415151,20240814,Warwickshire,Nottinghamshire,Rugby School Ground,ODM,AC Harris,GD Cross
1077953,20170421,West Indies,Pakistan,"Sabina Park, Kingston",Test,RK Illingworth,RA Kettleborough
804685,20150724,Glamorgan,Gloucestershire,Sophia Gardens,T20,RJ Evans,JH Evans
1426261,20240409,Sunrisers Hyderabad,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",T20,Navdeep Singh,NA Patwardhan
1347519,20230811,Kent,Surrey,"Kennington Oval, London",ODM,NL Bainton,NJ Llong
1269729,20210912,St Kitts and Nevis Patriots,Trinbago Knight Riders,"Warner Park, Basseterre, St Kitts",T20,CM Tuckett,Verdayne Smith
1359507,20230423,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",T20,Nitin Menon,Tapan Sharma
1130713,20180114,Jammu & Kashmir,Punjab,Arun Jaitley Stadium,T20,Unknown,Unknown
467883,20101128,India,New Zealand,Nehru Stadium,ODI,NJ Llong,SK Tarapore
1439897,20241024,New Zealand,India,"Maharashtra Cricket Association Stadium, Pune",Test,PR Reiffel,RK Illingworth
351689,20090201,Australia,New Zealand,Western Australia Cricket Association Ground,ODI,SA Bucknor,BNJ Oxenford
1253268,20210309,South Africa,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,ODI,BK Ravi,K Srinivasan
1312806,20220611,Nepal,United States of America,"Moosa Cricket Stadium, Pearland",ODI,LS Reifer,Vijaya Mallela
392217,20090509,Rajasthan Royals,Chennai Super Kings,De Beers Diamond Oval,T20,GAV Baxter,HDPK Dharmasena
1269683,20220112,Adelaide Strikers,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",T20,PJ Gillespie,SA Lightbody
1320977,20220701,Portugal,Spain,"Meersen, Gent",T20,Adriaan van den Dries,Jonathan Kennedy
1185858,20190925,St Lucia Zouks,Guyana Amazon Warriors,"Daren Sammy National Cricket Stadium, Gros Islet",T20,Zahid Bassarath,S George
1377005,20230604,United Arab Emirates,West Indies,Sharjah Cricket Stadium,ODI,Aasif Iqbal,Ahsan Raza
647251,20131016,Australia,India,Sawai Mansingh Stadium,ODI,RA Kettleborough,VA Kulkarni
530339,20120302,Dolphins,Warriors,"Kingsmead, Durban",T20,AT Holdstock,JD Cloete
1142586,20180805,South Africa,Sri Lanka,Pallekele International Cricket Stadium,ODI,RR Wimalasiri,NJ Llong
1341971,20221122,Papua New Guinea,United States of America,"Wanderers Cricket Ground, Windhoek",ODI,C Thorburn,Claus Schumacher
1328852,20220823,Kuwait,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Rahul Asher,Shiju Sam
356009,20090614,Sri Lanka,Ireland,Lord's,T20,M Erasmus,AL Hill
1254112,20211002,Mumbai Indians,Delhi Capitals,Sharjah Cricket Stadium,T20,AK Chaudhary,MA Gough
1351072,20230123,Rangpur Riders,Chattogram Challengers,"Shere Bangla National Stadium, Mirpur",T20,Mohammad Kamruzzaman,RMPJ Rambukwella
1283035,20211020,Swaziland,Seychelles,Gahanga International Cricket Stadium. Rwanda,T20,C Thorburn,Claus Schumacher
1313201,20220508,Spirit,Sapphires,Dubai International Cricket Stadium,T20,CA Polosak,SJA Taufel
1432737,20240714,Texas Super Kings,MI New York,"Grand Prairie Stadium, Dallas",T20,M Erasmus,Vijaya Mallela
1286667,20211107,Belize,United States of America,"Coolidge Cricket Ground, Antigua",T20,AR Maddela,LS Reifer
829817,20150519,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,T20,HDPK Dharmasena,RK Illingworth
1072317,20180207,England,Australia,Bellerive Oval,T20,GA Abood,SD Fry
1324522,20221207,Galle Gladiators,Kandy Falcons,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",T20,IC Soysa,RMPJ Rambukwella
993661,20160809,Lancashire Thunder,Surrey Stars,"Woodbridge Road, Guildford",T20,RJ Warren,Tom Lungley
1150554,20181122,India,England,"Sir Vivian Richards Stadium, North Sound",T20,CA Polosak,S George
1166935,20190610,Surrey,Yorkshire,"Woodbridge Road, Guildford",MDM,JW Lloyds,RT Robinson
1152569,20190217,Melbourne Renegades,Melbourne Stars,Docklands Stadium,T20,GA Abood,SJ Nogajski
1188786,20190618,Tanzania,Uganda,Gahanga International Cricket Stadium. Rwanda,T20,John Mayeku,Vicky Prajapati
1144147,20181003,South Africa,Zimbabwe,Mangaung Oval,ODI,AT Holdstock,CB Gaffaney
1127469,20180730,Derbyshire,Yorkshire,Headingley,T20,PJ Hartley,JH Evans
1331370,20220921,Namibia,Papua New Guinea,"Amini Park, Port Moresby",ODI,A Kapa,DM Koch
1168028,20190731,England,Australia,County Ground,T20,M Burns,AG Wharf
1000881,20161215,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Test,IJ Gould,RK Illingworth
1187023,20191222,West Indies,India,Barabati Stadium,ODI,Nitin Menon,S George
1167277,20190813,Yorkshire Diamonds,Lancashire Thunder,"Aigburth, Liverpool",T20,IN Ramage,Tom Lungley
1144517,20190628,Sri Lanka,South Africa,Riverside Ground,ODI,RJ Tucker,S Ravi
1280249,20211106,Chandigarh,Hyderabad (India),Gurugram Cricket Ground (SRNCC),T20,Unknown,Unknown
1410216,20240510,Lancashire,Nottinghamshire,"Trent Bridge, Nottingham",MDM,RA Kettleborough,Tom Lungley
1299592,20220213,United Arab Emirates,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Akbar Ali,Rahul Asher
1155306,20180829,Germany,Denmark,Sportpark Maarschalkerweerd,IT20,Adriaan van den Dries,RJ Veillard
1227596,20200808,Durham,Lancashire,"Riverside Ground, Chester-le-Street",MDM,NA Mallender,N Pratt
1314897,20220516,Uganda,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",T20,DN Subedi,Sanjay Gurung
1419934,20240216,United Arab Emirates,Thailand,"Bayuemas Oval, Kuala Lumpur",T20,Gayathri Venugopal,Nur Hijrah
1297975,20220807,Lancashire,Derbyshire,"Old Trafford, Manchester",ODM,BJ Peverall,RK Illingworth
1344620,20221204,New Zealand,Bangladesh,"University Oval, Dunedin",T20,JM Dempsey,Kim Cotton
1445489,20240811,Norway,Guernsey,"Ekeberg Cricket Ground 1, Oslo",T20,Unknown,Unknown
804543,20150612,Northamptonshire,Leicestershire,Grace Road,T20,JH Evans,NGB Cook
543882,20120220,Ireland,Kenya,Mombasa Sports Club Ground,ODI,S George,RB Tiffin
1085956,20170702,West Indies,South Africa,Grace Road,ODI,S Redfern,Sharfuddoula
785979,20141027,Uganda,Malaysia,Bayuemas Oval,ODM,DN Subedi,C Young
1235378,20210223,Knights,Lions,"Kingsmead, Durban",T20,BM White,LB Gcuma
1142210,20180420,Qatar,United Arab Emirates,Tack-Tec Ground,IT20,BB Pradhan,Rahat Ali
1140387,20181123,England,Sri Lanka,Sinhalese Sports Club Ground,Test,CB Gaffaney,S Ravi
1435621,20240602,Kenya,Nigeria,"Gahanga B Ground, Rwanda",T20,Gasana Christian,TJ Onikoyi
1398262,20240330,South Africa,Sri Lanka,"Senwes Park, Potchefstroom",T20,JM Williams,Lauren Agenbag
1366028,20230412,Spirit,Falcons,Kowloon Cricket Club,T20,John Prakash,Lauren Agenbag
1189744,20190620,Denmark,Italy,King George V Sports Ground,T20,Rizwan Akram,MV Waldron
1250278,20210618,Glamorgan,Middlesex,"Sophia Gardens, Cardiff",T20,Mark Newell,NL Bainton
1114889,20180120,Hobart Hurricanes,Perth Scorchers,W.A.C.A. Ground,T20,SAJ Craig,DM Koch
951397,20160323,South Africa,Ireland,"MA Chidambaram Stadium, Chepauk",T20,K Cross,CK Nandan
1068433,20170427,Glamorgan,Gloucestershire,"County Ground, Bristol",ODM,M Burns,RJ Evans
1118453,20170904,Germany,Jersey,Willowmoore Park,ODM,IO Oyieko,Iftikhar Ali
1462200,20250202,MI Emirates,Sharjah Warriorz,"Zayed Cricket Stadium, Abu Dhabi",T20,AG Wharf,RSA Palliyaguruge
533283,20120925,Bangladesh,Pakistan,Pallekele International Cricket Stadium,T20,SJ Davis,IJ Gould
1344509,20221202,Netherlands,Thailand,Royal Chiangmai Golf Club,T20,AK Rana,Samad Akbar
1244391,20210119,Madhya Pradesh,Services,Holkar Stadium,T20,Unknown,Unknown
1317491,20221122,Australia,England,Melbourne Cricket Ground,ODI,PR Reiffel,P Wilson
527690,20120222,England,New Zealand,Eden Park,T20,BG Frost,DJ Walker
1387197,20231105,Perth Scorchers,Adelaide Strikers,"Western Australia Cricket Association Ground, Perth",T20,J Buscall,Sharad Patel
336022,20080517,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,T20,AV Jayaprakash,RE Koertzen
1127740,20180924,Glamorgan,Leicestershire,"Sophia Gardens, Cardiff",MDM,ID Blackwell,JW Lloyds
1462650,20241207,Sudur Paschim Royals,Lumbini Lions,"Tribhuvan University International Cricket Ground, Kirtipur",T20,BB Pradhan,Rashid Riaz
